# app	/Users/jacob/githubApps/Scale/src-tauri/target/release/bundle/macos/Sovatela.app
# version	1.6.0
phase	time	source	remote
artifact	09:05:52	rust	51.159.86.116:443
artifact	09:05:52	rust	51.159.86.116:443
artifact	09:05:53	rust	51.159.86.116:443
artifact	09:05:53	rust	51.159.86.116:443
artifact	09:05:54	rust	51.159.86.116:443
artifact	09:05:54	rust	51.159.86.116:443
artifact	09:05:54	rust	51.159.86.116:443
artifact	09:05:55	rust	51.159.86.116:443
artifact	09:05:55	rust	51.159.86.116:443
artifact	09:05:56	rust	51.159.86.116:443
artifact	09:05:56	rust	51.159.86.116:443
artifact	09:05:57	rust	51.159.86.116:443
artifact	09:05:57	rust	51.159.86.116:443
artifact	09:05:58	rust	51.159.86.116:443
artifact	09:05:58	rust	51.159.86.116:443
artifact	09:05:58	rust	51.159.86.116:443
artifact	09:05:59	rust	51.159.86.116:443
artifact	09:05:59	rust	51.159.86.116:443
artifact	09:06:00	rust	51.159.86.116:443
artifact	09:06:00	rust	51.159.86.116:443
artifact	09:06:01	rust	51.159.86.116:443
artifact	09:06:01	rust	51.159.86.116:443
artifact	09:06:02	rust	51.159.86.116:443
artifact	09:06:02	rust	51.159.86.116:443
artifact	09:06:03	rust	51.159.86.116:443
artifact	09:06:03	rust	51.159.86.116:443
artifact	09:06:03	rust	51.159.86.116:443
artifact	09:06:04	rust	51.159.86.116:443
artifact	09:06:04	rust	51.159.86.116:443
artifact	09:06:05	rust	51.159.86.116:443
artifact	09:06:05	rust	51.159.86.116:443
artifact	09:06:06	rust	51.159.86.116:443
artifact	09:06:06	rust	51.159.86.116:443
artifact	09:06:07	rust	51.159.86.116:443
artifact	09:06:07	rust	51.159.86.116:443
artifact	09:06:07	rust	51.159.86.116:443
artifact	09:06:08	rust	51.159.86.116:443
artifact	09:06:08	rust	51.159.86.116:443
artifact	09:06:09	rust	51.159.86.116:443
artifact	09:06:09	rust	51.159.86.116:443
artifact	09:06:10	rust	51.159.86.116:443
artifact	09:06:10	rust	51.159.86.116:443
artifact	09:06:11	rust	51.159.86.116:443
artifact	09:06:11	rust	51.159.86.116:443
artifact	09:06:12	rust	51.159.86.116:443
artifact	09:06:12	rust	51.159.86.116:443
artifact	09:06:12	rust	51.159.86.116:443
artifact	09:06:13	rust	51.159.86.116:443
artifact	09:06:13	rust	51.159.86.116:443
update-check	09:07:52	rust	51.159.86.116:443
update-check	09:07:52	rust	185.199.108.153:443
update-check	09:07:52	rust	51.159.86.116:443
update-check	09:07:52	rust	185.199.108.153:443
update-check	09:07:53	rust	51.159.86.116:443
update-check	09:07:53	rust	185.199.108.153:443
update-check	09:07:53	rust	51.159.86.116:443
update-check	09:07:53	rust	185.199.108.153:443
update-check	09:07:54	rust	51.159.86.116:443
update-check	09:07:54	rust	185.199.108.153:443
update-check	09:07:54	rust	51.159.86.116:443
update-check	09:07:54	rust	185.199.108.153:443
update-check	09:07:55	rust	51.159.86.116:443
update-check	09:07:55	rust	185.199.108.153:443
update-check	09:07:55	rust	51.159.86.116:443
update-check	09:07:55	rust	185.199.108.153:443
update-check	09:07:55	rust	51.159.86.116:443
