phase	time	source	remote
update-check	23:24:28	rust	51.159.86.116:443
update-check	23:24:28	rust	185.199.108.153:443
pricing	23:24:54	rust	51.159.86.116:443
pricing	23:24:54	rust	185.199.108.153:443
pricing	23:24:54	rust	185.199.111.133:443
pricing	23:24:54	rust	51.159.86.116:443
pricing	23:24:54	rust	185.199.108.153:443
pricing	23:24:54	rust	185.199.111.133:443
pricing	23:24:55	rust	51.159.86.116:443
pricing	23:24:55	rust	185.199.108.153:443
pricing	23:24:55	rust	185.199.111.133:443
pricing	23:24:55	rust	51.159.86.116:443
pricing	23:24:55	rust	185.199.108.153:443
pricing	23:24:55	rust	185.199.111.133:443
pricing	23:24:56	rust	51.159.86.116:443
pricing	23:24:56	rust	185.199.108.153:443
pricing	23:24:56	rust	185.199.111.133:443
pricing	23:24:56	rust	51.159.86.116:443
pricing	23:24:56	rust	185.199.108.153:443
pricing	23:24:56	rust	185.199.111.133:443
pricing	23:24:57	rust	51.159.86.116:443
pricing	23:24:57	rust	185.199.108.153:443
pricing	23:24:57	rust	185.199.111.133:443
pricing	23:24:57	rust	51.159.86.116:443
pricing	23:24:57	rust	185.199.108.153:443
pricing	23:24:57	rust	185.199.111.133:443
pricing	23:24:57	rust	51.159.86.116:443
pricing	23:24:57	rust	185.199.108.153:443
pricing	23:24:57	rust	185.199.111.133:443
pricing	23:24:58	rust	51.159.86.116:443
pricing	23:24:58	rust	185.199.108.153:443
pricing	23:24:58	rust	185.199.111.133:443
pricing	23:24:58	rust	51.159.86.116:443
pricing	23:24:58	rust	185.199.108.153:443
pricing	23:24:58	rust	185.199.111.133:443
pricing	23:24:59	rust	51.159.86.116:443
pricing	23:24:59	rust	185.199.108.153:443
pricing	23:24:59	rust	185.199.111.133:443
pricing	23:24:59	rust	51.159.86.116:443
pricing	23:24:59	rust	185.199.108.153:443
pricing	23:24:59	rust	185.199.111.133:443
pricing	23:25:00	rust	51.159.86.116:443
pricing	23:25:00	rust	185.199.108.153:443
pricing	23:25:00	rust	185.199.111.133:443
pricing	23:25:00	rust	51.159.86.116:443
pricing	23:25:00	rust	185.199.108.153:443
pricing	23:25:00	rust	185.199.111.133:443
pricing	23:25:01	rust	51.159.86.116:443
pricing	23:25:01	rust	185.199.108.153:443
pricing	23:25:01	rust	185.199.111.133:443
pricing	23:25:01	rust	51.159.86.116:443
pricing	23:25:01	rust	185.199.108.153:443
pricing	23:25:01	rust	185.199.111.133:443
pricing	23:25:01	rust	51.159.86.116:443
pricing	23:25:01	rust	185.199.108.153:443
pricing	23:25:01	rust	185.199.111.133:443
pricing	23:25:02	rust	51.159.86.116:443
pricing	23:25:02	rust	185.199.108.153:443
pricing	23:25:02	rust	185.199.111.133:443
